Target Distance: 100, Step Size: 2
1951: (x, y) = (37.5384, -56.6882)
1952: (x, y) = (35.9203, -55.5126)
1953: (x, y) = (37.8609, -55.0288)
1954: (x, y) = (39.0365, -53.4107)
1955: (x, y) = (37.0392, -53.5154)
1956: (x, y) = (38.988, -53.0655)
1957: (x, y) = (37.4337, -51.8069)
1958: (x, y) = (36.4947, -53.5728)
1959: (x, y) = (38.092, -54.7764)
1960: (x, y) = (36.4947, -53.5728)
1961: (x, y) = (34.8367, -52.4544)
1962: (x, y) = (33.7183, -54.1124)
1963: (x, y) = (32.3041, -52.6982)
1964: (x, y) = (33.6162, -54.2076)
1965: (x, y) = (34.032, -56.1639)
1966: (x, y) = (32.2049, -55.3505)
1967: (x, y) = (30.439, -56.2894)
1968: (x, y) = (28.657, -57.1974)
1969: (x, y) = (26.6619, -57.3369)
1970: (x, y) = (27.6315, -55.5877)
1971: (x, y) = (29.6205, -55.7967)
1972: (x, y) = (30.9061, -57.3288)
1973: (x, y) = (32.7605, -58.078)
1974: (x, y) = (30.8479, -58.6628)
1975: (x, y) = (29.7295, -57.0047)
1976: (x, y) = (27.9636, -56.0658)
1977: (x, y) = (29.6779, -55.0357)
1978: (x, y) = (30.9366, -56.59)
1979: (x, y) = (29.6245, -58.0994)
1980: (x, y) = (28.0272, -59.303)
1981: (x, y) = (28.8086, -57.462)
1982: (x, y) = (27.1313, -56.3727)
1983: (x, y) = (29.131, -56.3378)
1984: (x, y) = (29.4439, -54.3624)
1985: (x, y) = (30.0286, -52.4498)
1986: (x, y) = (31.147, -50.7918)
1987: (x, y) = (32.8243, -51.881)
1988: (x, y) = (31.1663, -52.9994)
1989: (x, y) = (29.1967, -52.6521)
1990: (x, y) = (29.8807, -54.5315)
1991: (x, y) = (28.5951, -56.0636)
1992: (x, y) = (30.0578, -57.4276)
1993: (x, y) = (31.6121, -56.169)
1994: (x, y) = (33.6045, -55.9946)
1995: (x, y) = (32.0724, -54.7091)
1996: (x, y) = (33.6267, -55.9677)
1997: (x, y) = (31.7357, -55.3166)
1998: (x, y) = (30.2263, -56.6287)
1999: (x, y) = (31.7583, -55.3431)
2000: (x, y) = (30.1611, -56.5468)
2001: (x, y) = (30.5769, -58.503)
2002: (x, y) = (30.4374, -60.4982)
2003: (x, y) = (31.9917, -59.2395)
2004: (x, y) = (31.6444, -61.2091)
2005: (x, y) = (33.457, -62.0544)
2006: (x, y) = (31.5444, -61.4696)
2007: (x, y) = (32.7757, -59.8936)
2008: (x, y) = (31.7159, -61.5897)
2009: (x, y) = (30.9667, -59.7353)
2010: (x, y) = (31.3483, -61.6986)
2011: (x, y) = (31.1392, -59.7096)
2012: (x, y) = (32.3979, -58.1553)
2013: (x, y) = (33.3979, -59.8873)
2014: (x, y) = (35.1122, -60.9174)
2015: (x, y) = (37.1046, -60.7431)
2016: (x, y) = (36.2593, -62.5557)
2017: (x, y) = (35.8435, -64.512)
2018: (x, y) = (34.0164, -65.3255)
2019: (x, y) = (35.7657, -66.2951)
2020: (x, y) = (36.5149, -64.4407)
2021: (x, y) = (38.5039, -64.2317)
2022: (x, y) = (36.6368, -64.9484)
2023: (x, y) = (36.1869, -66.8971)
2024: (x, y) = (37.6011, -65.4829)
2025: (x, y) = (38.0169, -63.5266)
2026: (x, y) = (39.5929, -62.2953)
2027: (x, y) = (38.5628, -64.0096)
2028: (x, y) = (37.5328, -65.724)
2029: (x, y) = (37.1511, -67.6872)
2030: (x, y) = (37.464, -69.6626)
2031: (x, y) = (37.255, -67.6736)
2032: (x, y) = (35.2553, -67.7085)
2033: (x, y) = (36.3151, -66.0124)
2034: (x, y) = (38.3002, -65.7686)
2035: (x, y) = (39.6642, -67.2313)
2036: (x, y) = (41.3415, -66.1421)
2037: (x, y) = (39.3662, -65.8292)
2038: (x, y) = (38.2769, -67.5065)
2039: (x, y) = (38.3467, -69.5053)
2040: (x, y) = (36.5341, -68.6601)
2041: (x, y) = (38.2661, -67.6601)
2042: (x, y) = (40.2467, -67.3817)
2043: (x, y) = (38.4646, -68.2897)
2044: (x, y) = (36.6103, -69.0389)
2045: (x, y) = (34.861, -70.0085)
2046: (x, y) = (33.1649, -71.0684)
2047: (x, y) = (33.2696, -69.0711)
2048: (x, y) = (32.6849, -67.1585)
2049: (x, y) = (33.3029, -69.0606)
2050: (x, y) = (34.3627, -67.3645)
2051: (x, y) = (32.3676, -67.225)
2052: (x, y) = (33.1811, -69.0521)
2053: (x, y) = (31.8428, -67.5658)
2054: (x, y) = (32.4276, -65.6532)
2055: (x, y) = (34.3069, -66.3373)
2056: (x, y) = (32.5749, -67.3373)
2057: (x, y) = (34.4875, -67.922)
2058: (x, y) = (32.9332, -69.1806)
2059: (x, y) = (34.5092, -70.412)
2060: (x, y) = (33.6958, -68.5849)
2061: (x, y) = (35.6654, -68.2376)
2062: (x, y) = (36.3494, -70.117)
2063: (x, y) = (34.4007, -69.6671)
2064: (x, y) = (35.1499, -67.8127)
2065: (x, y) = (36.0888, -69.5786)
2066: (x, y) = (35.0888, -67.8465)
2067: (x, y) = (34.673, -65.8902)
2068: (x, y) = (34.0219, -63.9992)
2069: (x, y) = (32.7098, -65.5086)
2070: (x, y) = (31.8963, -67.3357)
2071: (x, y) = (30.4576, -65.9464)
2072: (x, y) = (30.076, -67.9096)
2073: (x, y) = (28.9004, -66.2916)
2074: (x, y) = (30.813, -66.8764)
2075: (x, y) = (30.4314, -64.9131)
2076: (x, y) = (32.244, -65.7583)
2077: (x, y) = (33.0255, -63.9173)
2078: (x, y) = (34.0255, -62.1853)
2079: (x, y) = (34.2692, -60.2002)
2080: (x, y) = (36.2616, -60.3745)
2081: (x, y) = (35.292, -58.6253)
2082: (x, y) = (33.9799, -57.1158)
2083: (x, y) = (34.6639, -58.9952)
2084: (x, y) = (33.5746, -57.3179)
2085: (x, y) = (34.0585, -55.3773)
2086: (x, y) = (32.4825, -54.146)
2087: (x, y) = (30.6698, -54.9912)
2088: (x, y) = (31.6698, -53.2592)
2089: (x, y) = (30.4662, -54.8564)
2090: (x, y) = (28.5175, -54.4065)
2091: (x, y) = (26.5284, -54.1975)
2092: (x, y) = (25.6204, -55.9795)
2093: (x, y) = (27.3525, -56.9795)
2094: (x, y) = (29.2546, -57.5975)
2095: (x, y) = (27.2595, -57.737)
2096: (x, y) = (25.7274, -56.4515)
2097: (x, y) = (27.525, -57.3282)
2098: (x, y) = (28.0763, -59.2507)
2099: (x, y) = (27.3595, -61.1179)
2100: (x, y) = (25.5324, -61.9314)
2101: (x, y) = (23.5519, -61.653)
2102: (x, y) = (23.102, -63.6017)
2103: (x, y) = (22.6521, -61.653)
2104: (x, y) = (20.6825, -61.3057)
2105: (x, y) = (19.7129, -63.0549)
2106: (x, y) = (20.1628, -61.1062)
2107: (x, y) = (18.5245, -59.9591)
2108: (x, y) = (16.5245, -59.9591)
2109: (x, y) = (15.0617, -58.5951)
2110: (x, y) = (13.7235, -60.0813)
2111: (x, y) = (11.7284, -59.9418)
2112: (x, y) = (10.497, -58.3658)
2113: (x, y) = (9.2384, -59.9201)
2114: (x, y) = (11.0928, -60.6693)
2115: (x, y) = (10.4416, -62.5604)
2116: (x, y) = (11.6729, -64.1364)
2117: (x, y) = (13.6535, -64.4147)
2118: (x, y) = (15.3678, -65.4448)
2119: (x, y) = (17.3484, -65.1665)
2120: (x, y) = (15.9341, -66.5807)
2121: (x, y) = (17.9147, -66.3023)
2122: (x, y) = (19.0902, -64.6843)
2123: (x, y) = (20.9696, -65.3683)
2124: (x, y) = (22.824, -66.1175)
2125: (x, y) = (22.7542, -68.1163)
2126: (x, y) = (20.8317, -67.565)
2127: (x, y) = (19.8927, -65.7992)
2128: (x, y) = (19.0475, -63.9865)
2129: (x, y) = (20.6235, -65.2179)
2130: (x, y) = (19.5934, -66.9322)
2131: (x, y) = (21.1029, -68.2443)
2132: (x, y) = (23.0919, -68.0353)
2133: (x, y) = (21.6292, -66.6713)
2134: (x, y) = (22.4427, -68.4983)
2135: (x, y) = (20.4475, -68.3588)
2136: (x, y) = (19.7635, -70.2382)
2137: (x, y) = (21.7268, -69.8566)
2138: (x, y) = (23.3028, -71.0879)
2139: (x, y) = (23.9868, -69.2085)
2140: (x, y) = (25.854, -68.4918)
2141: (x, y) = (26.7929, -66.7259)
2142: (x, y) = (25.854, -64.96)
2143: (x, y) = (24.1396, -63.9299)
2144: (x, y) = (24.9531, -65.757)
2145: (x, y) = (26.6492, -66.8169)
2146: (x, y) = (26.7539, -68.8141)
2147: (x, y) = (25.9404, -66.987)
2148: (x, y) = (27.4725, -68.2726)
2149: (x, y) = (26.5336, -70.0385)
2150: (x, y) = (28.5226, -70.2476)
2151: (x, y) = (26.5302, -70.4219)
2152: (x, y) = (25.8462, -72.3013)
2153: (x, y) = (27.1844, -70.815)
2154: (x, y) = (25.2438, -70.3311)
2155: (x, y) = (24.8622, -68.3679)
2156: (x, y) = (22.8869, -68.6807)
2157: (x, y) = (21.0325, -69.43)
2158: (x, y) = (20.9976, -67.4303)
2159: (x, y) = (22.116, -69.0883)
2160: (x, y) = (20.1841, -68.5707)
2161: (x, y) = (21.9334, -69.5403)
2162: (x, y) = (20.5191, -68.1261)
2163: (x, y) = (18.5438, -67.8132)
2164: (x, y) = (20.4231, -68.4973)
2165: (x, y) = (21.1399, -66.6301)
2166: (x, y) = (23.0962, -67.0459)
2167: (x, y) = (21.8106, -68.578)
2168: (x, y) = (23.1746, -70.0407)
2169: (x, y) = (21.1758, -70.1105)
2170: (x, y) = (19.1953, -69.8322)
2171: (x, y) = (20.9929, -70.7089)
2172: (x, y) = (20.1161, -72.5065)
2173: (x, y) = (18.2035, -71.9218)
2174: (x, y) = (20.1959, -72.0961)
2175: (x, y) = (21.4815, -70.564)
2176: (x, y) = (20.1694, -69.0546)
2177: (x, y) = (20.0996, -71.0534)
2178: (x, y) = (18.177, -70.5021)
2179: (x, y) = (18.1072, -68.5033)
2180: (x, y) = (19.9616, -67.7541)
2181: (x, y) = (21.6937, -66.7541)
2182: (x, y) = (19.9793, -65.724)
2183: (x, y) = (18.341, -64.5769)
2184: (x, y) = (19.6531, -66.0863)
2185: (x, y) = (17.668, -66.33)
2186: (x, y) = (16.8546, -68.1571)
2187: (x, y) = (15.3225, -66.8715)
2188: (x, y) = (17.0545, -65.8715)
2189: (x, y) = (18.8955, -66.653)
2190: (x, y) = (20.3342, -68.0423)
2191: (x, y) = (21.1157, -66.2013)
2192: (x, y) = (19.1157, -66.2013)
2193: (x, y) = (19.0808, -64.2016)
2194: (x, y) = (18.0209, -65.8977)
2195: (x, y) = (16.1416, -65.2137)
2196: (x, y) = (17.8377, -64.1538)
2197: (x, y) = (17.5593, -62.1733)
2198: (x, y) = (17.281, -64.1538)
2199: (x, y) = (15.6837, -65.3575)
2200: (x, y) = (16.031, -67.3271)
2201: (x, y) = (17.2346, -68.9243)
2202: (x, y) = (18.1426, -67.1423)
2203: (x, y) = (16.2107, -66.6247)
2204: (x, y) = (15.5267, -64.7453)
2205: (x, y) = (16.5568, -63.031)
2206: (x, y) = (16.6615, -61.0337)
2207: (x, y) = (15.6918, -62.7829)
2208: (x, y) = (13.8008, -63.4341)
2209: (x, y) = (12.6824, -61.776)
2210: (x, y) = (10.8698, -62.6212)
2211: (x, y) = (9.38351, -63.9595)
2212: (x, y) = (7.58592, -63.0828)
2213: (x, y) = (9.57831, -63.2571)
2214: (x, y) = (11.5634, -63.0133)
2215: (x, y) = (11.0458, -61.0815)
2216: (x, y) = (12.2213, -59.4635)
2217: (x, y) = (11.0742, -57.8251)
2218: (x, y) = (10.2289, -59.6378)
2219: (x, y) = (10.438, -57.6487)
2220: (x, y) = (10.0222, -55.6924)
2221: (x, y) = (10.6069, -53.7798)
2222: (x, y) = (8.85768, -52.8102)
2223: (x, y) = (7.04507, -51.965)
2224: (x, y) = (5.12255, -51.4137)
2225: (x, y) = (4.8442, -53.3942)
2226: (x, y) = (2.85911, -53.638)
2227: (x, y) = (3.57584, -51.7708)
2228: (x, y) = (5.57584, -51.7708)
2229: (x, y) = (7.15186, -53.0021)
2230: (x, y) = (7.70314, -54.9246)
2231: (x, y) = (8.08476, -56.8879)
2232: (x, y) = (8.04985, -58.8876)
2233: (x, y) = (10.0195, -59.2349)
2234: (x, y) = (11.5058, -60.5732)
2235: (x, y) = (10.8546, -62.4642)
2236: (x, y) = (11.2362, -64.4274)
2237: (x, y) = (11.48, -66.4125)
2238: (x, y) = (13.4751, -66.273)
2239: (x, y) = (15.4556, -66.5514)
2240: (x, y) = (16.9651, -65.2393)
2241: (x, y) = (15.233, -66.2393)
2242: (x, y) = (15.3725, -64.2441)
2243: (x, y) = (13.45, -64.7954)
2244: (x, y) = (13.8999, -62.8467)
2245: (x, y) = (13.7952, -60.8494)
2246: (x, y) = (11.8101, -60.6057)
2247: (x, y) = (10.498, -59.0962)
2248: (x, y) = (10.498, -57.0962)
2249: (x, y) = (11.2148, -58.9634)
2250: (x, y) = (11.2846, -56.9646)
2251: (x, y) = (9.33581, -57.4145)
2252: (x, y) = (11.3309, -57.275)
2253: (x, y) = (10.6142, -55.4078)
2254: (x, y) = (9.08212, -56.6934)
2255: (x, y) = (10.5915, -55.3813)
2256: (x, y) = (9.7463, -57.1939)
2257: (x, y) = (11.1103, -55.7312)
2258: (x, y) = (10.4263, -53.8518)
2259: (x, y) = (9.61278, -55.6789)
2260: (x, y) = (11.5882, -55.3661)
2261: (x, y) = (13.2062, -54.1905)
2262: (x, y) = (14.7605, -52.9318)
2263: (x, y) = (15.0388, -54.9124)
2264: (x, y) = (14.623, -56.8687)
2265: (x, y) = (13.3109, -58.3781)
2266: (x, y) = (11.3476, -57.9965)
2267: (x, y) = (12.6063, -56.4422)
2268: (x, y) = (10.9482, -55.3238)
2269: (x, y) = (12.3375, -53.8851)
2270: (x, y) = (13.7762, -52.4958)
2271: (x, y) = (14.7762, -50.7637)
2272: (x, y) = (14.2924, -52.7043)
2273: (x, y) = (13.0068, -51.1722)
2274: (x, y) = (12.5229, -53.1128)
2275: (x, y) = (10.7103, -53.9581)
2276: (x, y) = (10.5013, -51.969)
2277: (x, y) = (11.5313, -53.6834)
2278: (x, y) = (13.3584, -54.4968)
2279: (x, y) = (11.3694, -54.7059)
2280: (x, y) = (10.1381, -56.2819)
2281: (x, y) = (11.0148, -58.0795)
2282: (x, y) = (10.3637, -59.9705)
2283: (x, y) = (9.27439, -61.6479)
2284: (x, y) = (9.62169, -63.6175)
2285: (x, y) = (8.90495, -61.7503)
2286: (x, y) = (9.1833, -63.7309)
2287: (x, y) = (7.25145, -63.2132)
2288: (x, y) = (5.38429, -62.4965)
2289: (x, y) = (7.15018, -61.5576)
2290: (x, y) = (7.60008, -63.5063)
2291: (x, y) = (9.13217, -62.2207)
2292: (x, y) = (10.0089, -64.0183)
2293: (x, y) = (8.06832, -64.5022)
2294: (x, y) = (9.57774, -65.8143)
2295: (x, y) = (10.3592, -63.9733)
2296: (x, y) = (11.2672, -62.1913)
2297: (x, y) = (13.2672, -62.1913)
2298: (x, y) = (12.3282, -60.4254)
2299: (x, y) = (12.6066, -58.4448)
2300: (x, y) = (13.9959, -57.0061)
2301: (x, y) = (15.654, -55.8878)
2302: (x, y) = (14.078, -54.6564)
2303: (x, y) = (12.0889, -54.4474)
2304: (x, y) = (10.1571, -53.9297)
2305: (x, y) = (10.1571, -55.9297)
2306: (x, y) = (12.0481, -55.2786)
2307: (x, y) = (10.6841, -53.8159)
2308: (x, y) = (8.96977, -54.846)
2309: (x, y) = (7.63151, -56.3323)
2310: (x, y) = (5.66825, -56.7139)
2311: (x, y) = (5.87731, -54.7248)
2312: (x, y) = (7.49534, -53.5493)
2313: (x, y) = (7.73908, -51.5642)
2314: (x, y) = (9.29337, -52.8228)
2315: (x, y) = (10.7321, -54.2121)
2316: (x, y) = (11.5455, -52.385)
2317: (x, y) = (10.8288, -50.5179)
2318: (x, y) = (12.8178, -50.7269)
2319: (x, y) = (12.5741, -48.7418)
2320: (x, y) = (14.5374, -48.3602)
2321: (x, y) = (14.7811, -50.3453)
2322: (x, y) = (13.2948, -49.0071)
2323: (x, y) = (14.4984, -50.6043)
2324: (x, y) = (13.7492, -48.75)
2325: (x, y) = (15.4636, -49.78)
2326: (x, y) = (14.6501, -51.6071)
2327: (x, y) = (16.0141, -50.1444)
2328: (x, y) = (14.1469, -50.8612)
2329: (x, y) = (13.0576, -52.5385)
2330: (x, y) = (11.799, -50.9842)
2331: (x, y) = (10.799, -49.2522)
2332: (x, y) = (10.8339, -51.2518)
2333: (x, y) = (10.8688, -53.2515)
2334: (x, y) = (8.92821, -52.7677)
2335: (x, y) = (10.1595, -54.3437)
2336: (x, y) = (8.15984, -54.3786)
2337: (x, y) = (6.1708, -54.5877)
2338: (x, y) = (6.48367, -52.6123)
2339: (x, y) = (8.16101, -51.523)
2340: (x, y) = (8.71228, -53.4456)
2341: (x, y) = (7.07398, -52.2984)
2342: (x, y) = (6.166, -50.5164)
2343: (x, y) = (7.74202, -51.7477)
2344: (x, y) = (6.40376, -53.234)
2345: (x, y) = (7.68933, -54.7661)
2346: (x, y) = (5.94009, -53.7965)
2347: (x, y) = (3.9995, -53.3126)
2348: (x, y) = (4.78096, -55.1536)
2349: (x, y) = (3.14266, -54.0065)
2350: (x, y) = (2.9336, -55.9955)
2351: (x, y) = (4.05199, -57.6536)
2352: (x, y) = (4.86546, -59.4807)
2353: (x, y) = (5.00497, -61.4758)
2354: (x, y) = (3.9157, -59.7985)
2355: (x, y) = (4.19404, -61.779)
2356: (x, y) = (3.34881, -59.9664)
2357: (x, y) = (2.40986, -61.7323)
2358: (x, y) = (4.06794, -62.8507)
2359: (x, y) = (5.50662, -64.24)
2360: (x, y) = (4.537, -62.4908)
2361: (x, y) = (4.36269, -60.4984)
2362: (x, y) = (5.59401, -62.0744)
2363: (x, y) = (7.32606, -61.0744)
2364: (x, y) = (6.29599, -62.7887)
2365: (x, y) = (5.45075, -60.9761)
2366: (x, y) = (3.73641, -62.0062)
2367: (x, y) = (4.73641, -60.2741)
2368: (x, y) = (2.75132, -60.0304)
2369: (x, y) = (0.828798, -59.4791)
2370: (x, y) = (0.724126, -57.4819)
2371: (x, y) = (0.411257, -55.5065)
2372: (x, y) = (1.6699, -57.0608)
2373: (x, y) = (1.94824, -55.0802)
2374: (x, y) = (2.72971, -56.9212)
2375: (x, y) = (0.732448, -56.8166)
2376: (x, y) = (0.523391, -58.8056)
2377: (x, y) = (0.732448, -56.8166)
2378: (x, y) = (-0.885586, -57.9921)
2379: (x, y) = (-0.168851, -56.125)
2380: (x, y) = (-0.550469, -54.1617)
2381: (x, y) = (-1.55047, -52.4297)
2382: (x, y) = (-2.39571, -54.2423)
2383: (x, y) = (-0.777671, -53.0667)
2384: (x, y) = (-0.917184, -55.0619)
2385: (x, y) = (-1.8868, -56.8111)
2386: (x, y) = (-0.497487, -58.2498)
2387: (x, y) = (1.36967, -57.533)
2388: (x, y) = (0.280396, -55.8557)
2389: (x, y) = (-1.4855, -54.9168)
2390: (x, y) = (-3.23474, -55.8864)
2391: (x, y) = (-4.17368, -57.6523)
2392: (x, y) = (-4.92289, -59.5066)
2393: (x, y) = (-6.77726, -58.7574)
2394: (x, y) = (-8.3953, -57.5819)
2395: (x, y) = (-9.59893, -55.9846)
2396: (x, y) = (-11.2372, -54.8374)
2397: (x, y) = (-9.24484, -55.0117)
2398: (x, y) = (-8.21476, -53.2974)
2399: (x, y) = (-6.72848, -54.6357)
2400: (x, y) = (-8.60786, -53.9516)
2401: (x, y) = (-6.79524, -53.1064)
2402: (x, y) = (-6.14411, -54.9974)
2403: (x, y) = (-6.79524, -53.1064)
2404: (x, y) = (-4.92808, -53.8231)
2405: (x, y) = (-6.41437, -55.1614)
2406: (x, y) = (-8.28153, -54.4447)
2407: (x, y) = (-9.15828, -56.2422)
2408: (x, y) = (-7.95465, -57.8395)
2409: (x, y) = (-6.0228, -57.3219)
2410: (x, y) = (-8.01518, -57.4962)
2411: (x, y) = (-7.66789, -59.4658)
2412: (x, y) = (-5.6828, -59.2221)
2413: (x, y) = (-5.03166, -57.331)
2414: (x, y) = (-3.59298, -58.7203)
2415: (x, y) = (-3.48831, -60.7176)
2416: (x, y) = (-2.15005, -62.2039)
2417: (x, y) = (-3.74732, -61.0003)
2418: (x, y) = (-2.93384, -62.8273)
2419: (x, y) = (-2.41621, -60.8955)
2420: (x, y) = (-1.57097, -62.7081)
2421: (x, y) = (0.360882, -62.1905)
2422: (x, y) = (-1.6145, -62.5033)
2423: (x, y) = (-3.61175, -62.608)
2424: (x, y) = (-5.59685, -62.3643)
2425: (x, y) = (-3.81483, -63.2723)
2426: (x, y) = (-5.81362, -63.3421)
2427: (x, y) = (-4.32733, -64.6803)
2428: (x, y) = (-2.61299, -65.7104)
2429: (x, y) = (-3.55193, -67.4763)
2430: (x, y) = (-5.24803, -66.4165)
2431: (x, y) = (-3.24833, -66.3815)
2432: (x, y) = (-4.75775, -65.0694)
2433: (x, y) = (-4.30785, -63.1207)
2434: (x, y) = (-4.99189, -61.2413)
2435: (x, y) = (-5.93084, -59.4754)
2436: (x, y) = (-4.93084, -61.2075)
2437: (x, y) = (-6.48513, -59.9488)
2438: (x, y) = (-7.6607, -61.5669)
2439: (x, y) = (-8.63032, -59.8176)
2440: (x, y) = (-10.4574, -59.0041)
2441: (x, y) = (-9.45741, -57.2721)
2442: (x, y) = (-9.4225, -59.2718)
2443: (x, y) = (-11.3351, -58.687)
2444: (x, y) = (-12.6472, -57.1776)
2445: (x, y) = (-13.9855, -58.6639)
2446: (x, y) = (-12.7542, -60.2399)
2447: (x, y) = (-11.34, -61.6541)
2448: (x, y) = (-9.3767, -61.2725)
2449: (x, y) = (-10.1902, -59.4454)
2450: (x, y) = (-10.4685, -61.426)
2451: (x, y) = (-9.29295, -63.044)
2452: (x, y) = (-10.5785, -61.5119)
2453: (x, y) = (-10.6134, -59.5122)
2454: (x, y) = (-8.61465, -59.4424)
2455: (x, y) = (-10.607, -59.2681)
2456: (x, y) = (-9.7303, -57.4705)
2457: (x, y) = (-8.61191, -55.8124)
2458: (x, y) = (-10.0012, -54.3738)
2459: (x, y) = (-10.1755, -56.3662)
2460: (x, y) = (-12.1452, -56.0189)
2461: (x, y) = (-13.9427, -55.1421)
2462: (x, y) = (-14.0823, -57.1372)
2463: (x, y) = (-12.8236, -58.6915)
2464: (x, y) = (-14.0549, -60.2676)
2465: (x, y) = (-14.7717, -62.1347)
2466: (x, y) = (-14.0225, -60.2804)
2467: (x, y) = (-12.5838, -58.891)
2468: (x, y) = (-12.8621, -60.8716)
2469: (x, y) = (-11.8023, -62.5677)
2470: (x, y) = (-10.164, -61.4205)
2471: (x, y) = (-9.13391, -59.7062)
2472: (x, y) = (-7.13513, -59.6364)
2473: (x, y) = (-5.95955, -61.2544)
2474: (x, y) = (-6.09907, -59.2593)
2475: (x, y) = (-4.10668, -59.085)
2476: (x, y) = (-2.71736, -57.6463)
2477: (x, y) = (-2.54305, -59.6387)
2478: (x, y) = (-1.01096, -60.9243)
2479: (x, y) = (0.0783168, -59.2469)
2480: (x, y) = (1.82756, -58.2773)
2481: (x, y) = (0.341267, -59.6156)
2482: (x, y) = (-0.777119, -61.2736)
2483: (x, y) = (-2.64428, -60.5569)
2484: (x, y) = (-1.28028, -62.0196)
2485: (x, y) = (-2.34012, -63.7157)
2486: (x, y) = (-0.527506, -64.5609)
2487: (x, y) = (-1.21155, -66.4403)
2488: (x, y) = (-3.15214, -65.9565)
2489: (x, y) = (-1.2611, -66.6076)
2490: (x, y) = (0.520912, -65.6996)
2491: (x, y) = (2.36192, -66.4811)
2492: (x, y) = (0.947708, -65.0669)
2493: (x, y) = (-0.992883, -64.583)
2494: (x, y) = (-0.441608, -66.5056)
2495: (x, y) = (-1.47168, -68.2199)
2496: (x, y) = (-0.886941, -70.1325)
2497: (x, y) = (1.1021, -70.3416)
2498: (x, y) = (-0.710513, -69.4963)
2499: (x, y) = (-2.68589, -69.8092)
2500: (x, y) = (-1.77791, -71.5912)
2501: (x, y) = (-3.74752, -71.9385)
2502: (x, y) = (-4.49674, -73.7929)
2503: (x, y) = (-6.47211, -73.48)
2504: (x, y) = (-4.49674, -73.1671)
2505: (x, y) = (-6.13504, -74.3143)
2506: (x, y) = (-8.1323, -74.2096)
2507: (x, y) = (-6.98515, -72.5713)
2508: (x, y) = (-8.27072, -71.0392)
2509: (x, y) = (-6.29535, -70.7264)
2510: (x, y) = (-7.07681, -68.8854)
2511: (x, y) = (-5.36247, -67.8553)
2512: (x, y) = (-6.5938, -69.4313)
2513: (x, y) = (-8.10322, -70.7434)
2514: (x, y) = (-10.0665, -71.125)
2515: (x, y) = (-8.97719, -69.4477)
2516: (x, y) = (-7.22795, -70.4173)
2517: (x, y) = (-5.65193, -69.186)
2518: (x, y) = (-7.65163, -69.1511)
2519: (x, y) = (-9.11433, -67.7871)
2520: (x, y) = (-9.76547, -69.6781)
2521: (x, y) = (-9.38385, -67.7149)
2522: (x, y) = (-10.1973, -65.8878)
2523: (x, y) = (-10.6131, -67.8441)
2524: (x, y) = (-11.4584, -69.6567)
2525: (x, y) = (-9.94897, -68.3446)
2526: (x, y) = (-11.4353, -67.0063)
2527: (x, y) = (-13.4158, -66.728)
2528: (x, y) = (-13.5205, -68.7252)
2529: (x, y) = (-15.4523, -68.2076)
2530: (x, y) = (-13.4526, -68.1727)
2531: (x, y) = (-12.9688, -66.2321)
2532: (x, y) = (-10.9736, -66.3716)
2533: (x, y) = (-12.0335, -64.6755)
2534: (x, y) = (-12.7827, -66.5299)
2535: (x, y) = (-10.7903, -66.3556)
2536: (x, y) = (-8.9493, -67.137)
2537: (x, y) = (-8.10406, -65.3244)
2538: (x, y) = (-7.35485, -67.1788)
2539: (x, y) = (-5.48769, -67.8955)
2540: (x, y) = (-4.31212, -69.5135)
2541: (x, y) = (-2.89791, -68.0993)
2542: (x, y) = (-0.928291, -67.752)
2543: (x, y) = (0.357284, -66.2199)
2544: (x, y) = (-1.12901, -64.8817)
2545: (x, y) = (-0.544262, -62.9691)
2546: (x, y) = (1.33512, -63.6531)
2547: (x, y) = (0.683987, -61.7621)
2548: (x, y) = (2.5966, -62.3468)
2549: (x, y) = (0.729436, -61.6301)
2550: (x, y) = (-0.240184, -59.8808)
2551: (x, y) = (-1.41575, -61.4989)
2552: (x, y) = (-2.47559, -63.195)
2553: (x, y) = (-3.67922, -64.7922)
2554: (x, y) = (-5.04322, -63.3295)
2555: (x, y) = (-3.05083, -63.5039)
2556: (x, y) = (-4.70891, -62.3855)
2557: (x, y) = (-6.30618, -61.1818)
2558: (x, y) = (-8.25492, -60.7319)
2559: (x, y) = (-7.70364, -62.6545)
2560: (x, y) = (-6.47232, -64.2305)
2561: (x, y) = (-8.43557, -63.8489)
2562: (x, y) = (-6.43679, -63.7791)
2563: (x, y) = (-8.43192, -63.6395)
2564: (x, y) = (-7.71518, -65.5067)
2565: (x, y) = (-8.39922, -67.3861)
2566: (x, y) = (-7.19559, -65.7888)
2567: (x, y) = (-8.72768, -64.5032)
2568: (x, y) = (-10.7128, -64.747)
2569: (x, y) = (-8.77218, -65.2308)
2570: (x, y) = (-6.79681, -65.5437)
2571: (x, y) = (-8.18612, -64.105)
2572: (x, y) = (-8.42986, -66.0901)
2573: (x, y) = (-6.43017, -66.0552)
2574: (x, y) = (-8.4253, -66.1947)
2575: (x, y) = (-6.93901, -64.8565)
2576: (x, y) = (-5.73538, -66.4537)
2577: (x, y) = (-7.6579, -65.9025)
2578: (x, y) = (-5.81689, -65.121)
2579: (x, y) = (-5.13285, -67.0004)
2580: (x, y) = (-7.05537, -67.5517)
2581: (x, y) = (-8.63139, -66.3203)
